H,c_mean,c_med,p_05,p_95
0,0.08713578108841122,0.08597697448407902,0.05046313244191964,0.13379857296097045
1,0.08822197239757097,0.08507858578741644,0.04986494384946739,0.13309686964927378
2,0.08855884633606195,0.08645967851332541,0.04870533817858267,0.13373899650629678
3,0.09033294920854675,0.08943835635663248,0.046478316677169125,0.1361334224072043
4,0.09077067042905904,0.08804604427108277,0.049505540935132965,0.13270533441517476
5,0.09058612633489448,0.0904423411730527,0.04556460393448688,0.1342363894364951
6,0.09035781110063049,0.09124872178424887,0.046599833618059916,0.13584567672394093
7,0.09121430048585495,0.08916862566594662,0.052686202872533096,0.13919511210602428
8,0.09256548548313198,0.08998029925340602,0.052569475272579234,0.14265698490671644
9,0.10063835805142868,0.09917588638284727,0.0530147636375782,0.14625001299487408
10,0.11867216509276621,0.11890129251734614,0.059194309606721764,0.1704614097813338
11,0.12151875551937287,0.12234505900957474,0.06002547626076236,0.18680025788428595
12,0.11343603512835834,0.11334907754901495,0.05997690163124523,0.17908374196097623
13,0.10497931423071817,0.10341758075164716,0.05431391478565003,0.17184018740293078
14,0.09747027211504569,0.09581289985406734,0.050070398920092934,0.16028395723405153
15,0.09448845329860706,0.09395780787644625,0.04771942133898162,0.1549451138623271
16,0.09234952083212185,0.09120240347430694,0.04651407807205587,0.15195585171844642
17,0.08921475361504719,0.08894429553949608,0.046651349338737554,0.13433543763149702
18,0.09064747732432613,0.0894564863495514,0.048400413498109196,0.13474869197656236
19,0.09075627781898286,0.08817526136159479,0.051429137475022146,0.13514403896073646
20,0.09128142524659828,0.08998218629187803,0.05136085481737862,0.13407344700972293
21,0.0896985867095025,0.08701565935887334,0.04963705222084234,0.13517738244592337
22,0.08867596776220348,0.08507286536231726,0.049144059299757376,0.13571247814713705
23,0.08750524391300978,0.08616534058672512,0.04738759802728713,0.12948713523790462
